title,genre,duration,release_date,won_oscar
The Princess Bride,Comedy,98,1987-10-09,0
Patton,War,172,1970-04-02,1
Toy Story,Animation,81,1995-11-22,0
Raiders of the Lost Ark,Adventure,115,1981-06-12,1
The Shawshank Redemption,Drama,142,1994-10-14,0
The Godfather,Crime,175,1972-03-24,1
The Dark Knight,Action,152,2008-07-18,1
The Godfather: Part II,Crime,202,1974-12-20,1
The Lord of the Rings: The Fellowship of the Ring,Fantasy,178,2001-12-19,1
The Lord of the Rings: The Two Towers,Fantasy,179,2002-12-18,1
The Lord of the Rings: The Return of the King,Fantasy,201,2003-12-17,1
Finding Nemo,Animation,100,2003-05-30,1
The Incredibles,Animation,115,2004-11-05,1
Indiana Jones and the Temple of Doom,Adventure,118,1984-05-23,1
Indiana Jones and the Last Crusade,Adventure,127,1989-05-24,1
The Avengers,Action,143,2012-05-04,0
Avengers: Age of Ultron,Action,141,2015-05-01,0
Guardians of the Galaxy,Action,121,2014-08-01,0
Saving Private Ryan,War,169,1998-07-24,1
Chariots of Fire,Drama,125,1982-04-09,1
